resv_status,rn,adults,child,baby,room_type,id_client,oos,hk_Full_stay,checkout_year,checkout_month,checkout_day,checkout_day_name,hk_half_stay,total_HK
1,6,2,0,0,0,9050669,1,1,2022,7,20,4,0.5,1.5
1,2,2,0,0,0,16553033,1,1,2023,7,30,1,0.0,1.0
1,1,2,0,0,0,11594717,1,1,2022,9,16,6,0.0,1.0
1,3,2,0,0,0,9694696,1,1,2022,6,17,6,0.0,1.0
1,1,3,0,0,1,14664413,1,1,2023,5,20,7,0.0,1.0
1,3,3,0,0,1,13899128,1,1,2023,7,3,2,0.0,1.0
1,6,1,0,0,0,13381393,1,1,2023,2,5,1,0.5,1.5
1,3,2,0,0,0,7829478,1,1,2021,11,12,6,0.0,1.0
1,3,2,1,0,1,13376800,1,1,2023,2,13,2,0.0,1.0
1,2,2,0,0,0,13060977,1,1,2023,1,8,1,0.0,1.0
1,5,3,0,0,1,9578253,1,1,2022,9,11,1,0.5,1.5
1,2,2,0,0,0,14787263,1,1,2023,5,4,5,0.0,1.0
1,1,2,0,0,1,9171536,1,1,2022,5,24,3,0.0,1.0
1,4,4,0,0,1,14317062,1,1,2023,4,8,7,0.5,1.5
1,6,2,0,0,1,13107809,1,1,2023,9,9,7,0.5,1.5
1,3,2,0,0,0,17646377,1,1,2023,10,27,6,0.0,1.0
1,12,1,0,0,1,17862241,1,2,2023,10,13,6,1.5,3.5
1,1,2,0,0,0,18144791,1,1,2023,10,16,2,0.0,1.0
1,2,2,0,0,0,17430149,1,1,2023,9,8,6,0.0,1.0
1,1,2,0,0,0,13684701,1,1,2023,3,2,5,0.0,1.0
1,1,2,0,0,0,12963577,1,1,2023,1,2,2,0.0,1.0
1,1,2,0,0,1,18224028,1,1,2023,11,6,2,0.0,1.0
1,2,2,0,0,0,17281545,1,1,2023,9,25,2,0.0,1.0
1,7,2,0,0,1,17653811,1,1,2023,10,6,6,0.5,1.5
1,7,4,0,0,3,6090038,1,1,2021,8,8,1,0.5,1.5
1,7,4,0,0,3,6090038,1,1,2021,8,15,1,0.5,1.5
1,28,1,0,0,0,8606339,1,4,2022,3,11,6,3.5,7.5
1,7,7,0,0,3,6090038,1,1,2022,8,7,1,0.5,1.5
1,7,1,0,0,3,6090038,1,1,2022,8,14,1,0.5,1.5
1,1,1,0,0,0,9024255,1,1,2022,3,30,4,0.0,1.0
1,1,2,0,0,1,9680840,1,1,2022,7,13,4,0.0,1.0
1,7,1,0,0,3,6090038,1,1,2023,8,20,1,0.5,1.5
1,7,2,0,0,3,6090038,1,1,2023,8,13,1,0.5,1.5
1,4,2,0,0,0,13286133,1,1,2023,2,13,2,0.5,1.5
1,7,2,0,0,0,15754219,1,1,2023,11,23,5,0.5,1.5
1,7,1,0,0,3,6090038,1,1,2024,8,11,1,0.5,1.5
1,7,1,0,0,3,6090038,1,1,2024,8,18,1,0.5,1.5
1,6,2,0,0,1,19596780,1,1,2024,2,6,3,0.5,1.5
1,3,2,0,0,0,13270678,1,1,2023,1,29,1,0.0,1.0
1,10,2,0,0,0,9326651,1,2,2022,9,21,4,1.0,3.0
1,2,2,0,0,1,10259781,1,1,2022,6,20,2,0.0,1.0
1,3,7,0,0,3,9033811,1,1,2022,8,12,6,0.0,1.0
1,2,2,0,0,0,12979327,1,1,2023,1,2,2,0.0,1.0
1,1,2,0,0,0,10846693,1,1,2022,7,11,2,0.0,1.0
1,2,2,0,0,0,10034884,1,1,2022,6,10,6,0.0,1.0
1,8,2,2,0,1,9017828,1,2,2022,4,20,4,1.0,3.0
1,6,2,0,0,1,11930622,1,1,2022,9,29,5,0.5,1.5
1,5,2,0,0,0,14994592,1,1,2023,6,26,2,0.5,1.5
1,9,2,0,0,1,9694953,1,2,2022,6,30,5,1.0,3.0
1,4,4,0,0,1,14316637,1,1,2023,7,13,5,0.5,1.5
1,4,4,0,0,1,14316637,1,1,2023,7,13,5,0.5,1.5
1,4,4,0,0,1,14316637,1,1,2023,7,13,5,0.5,1.5
1,4,4,0,0,1,14316637,1,1,2023,7,13,5,0.5,1.5
1,4,4,0,0,1,14316637,1,1,2023,7,13,5,0.5,1.5
1,4,4,0,0,1,14316637,1,1,2023,7,13,5,0.5,1.5
1,1,2,0,0,0,8298494,1,1,2022,1,14,6,0.0,1.0
1,5,2,0,0,1,13064906,1,1,2023,1,15,1,0.5,1.5
1,6,4,0,0,1,13200985,1,1,2023,7,9,1,0.5,1.5
1,6,6,0,0,2,13200985,1,1,2023,7,9,1,0.5,1.5
1,4,2,1,0,1,7333714,1,1,2021,8,27,6,0.5,1.5
1,1,2,0,0,0,12477016,1,1,2022,11,14,2,0.0,1.0
1,4,1,0,0,0,12464936,1,1,2022,11,7,2,0.5,1.5
1,6,2,0,0,0,12199597,1,1,2022,10,18,3,0.5,1.5
1,9,2,0,0,0,13645355,1,2,2023,6,2,6,1.0,3.0
1,7,2,0,0,0,12862632,1,1,2022,12,26,2,0.5,1.5
1,3,2,0,0,0,9606569,1,1,2022,9,17,7,0.0,1.0
1,1,3,0,0,1,10159490,1,1,2022,7,30,7,0.0,1.0
1,1,3,0,0,1,10159490,1,1,2022,7,30,7,0.0,1.0
1,14,2,0,0,0,13094689,1,2,2023,8,21,2,1.5,3.5
1,8,3,2,0,2,12139987,1,2,2022,10,28,6,1.0,3.0
1,2,2,0,0,0,7753878,1,1,2021,10,10,1,0.0,1.0
1,6,2,0,0,0,9602442,1,1,2022,7,7,5,0.5,1.5
1,4,2,0,0,1,11415398,1,1,2022,9,15,5,0.5,1.5
1,1,2,0,0,1,9149709,1,1,2022,7,11,2,0.0,1.0
1,1,1,3,0,1,11444060,1,1,2022,11,5,7,0.0,1.0
1,4,2,0,0,0,12929172,1,1,2023,1,5,5,0.5,1.5
1,10,2,0,0,1,7564880,1,2,2021,10,1,6,1.0,3.0
1,4,2,0,0,0,9069545,1,1,2022,4,23,7,0.5,1.5
1,6,2,0,0,0,14209824,1,1,2023,6,23,6,0.5,1.5
